"site_name","crop_system_name","management_name","climate_scenario","Year","trans.yr","evap.yr","leach.yr","run.yr","sed.yr"
"v_8","grape-c","rn","rcp60",2045,71.342111,180.586478,425.088695,357.049201,702.462646596297
"v_8","grape-c","rn","rcp60",2046,68.824191,185.396259,749.42185,477.294974,815.964703754434
"v_8","grape-c","rn","rcp60",2047,69.424333,181.022921,426.256388,268.040616,440.859155835707
"v_8","grape-c","rn","rcp60",2048,69.043925,174.523593,207.736894,80.36297,106.103586825223
"v_8","grape-c","rn","rcp60",2049,70.443194,182.217519,965.956054,734.780156,1008.76906274653
"v_8","grape-c","rn","rcp60",2050,70.416274,266.637075,667.959649,471.634039,767.298038727881
"v_8","grape-c","rn","rcp60",2051,70.513947,225.299694,627.856173,316.651886,672.138102825789
"v_8","grape-c","rn","rcp60",2052,71.10551,222.488696,485.892784,321.716445,500.938255733858
"v_8","grape-c","rn","rcp60",2053,72.332312,197.745208,860.92391,471.447528,893.740594352438
"v_8","grape-c","rn","rcp60",2054,71.708494,207.48575,380.058835,211.296976,360.469863053724
"v_8","grape-c","rn","rcp60",2055,72.438576,187.300202,489.219508,220.576695,421.438965965081
"v_8","grape-c","rn","rcp60",2056,71.187645,194.733563,562.202199,360.129587,602.986904373581
"v_8","grape-c","rn","rcp60",2057,72.119989,199.766168,239.886565,134.709135,344.007320391238
"v_8","grape-c","rn","rcp60",2058,74.005845,218.018483,244.543414,106.28817,186.973093915757
"v_8","grape-c","rn","rcp60",2059,73.926493,230.35676,707.907162,512.319458,928.807309310356
"v_8","grape-c","rn","rcp60",2060,71.513234,191.915783,230.154616,137.394884,474.604112442498
"v_8","grape-c","rn","rcp60",2061,73.883624,189.386619,180.706576,119.702649,204.049161838187
"v_8","grape-c","rn","rcp60",2062,74.068113,170.227696,730.810547,473.974917,1018.28345459675
"v_8","grape-c","rn","rcp60",2063,74.049416,211.526347,186.555466,80.504005,125.307884198458
"v_8","grape-c","rn","rcp60",2064,72.444373,216.125456,522.492166,309.310064,467.986928469779
